Artist,Year,Popularity
!!!,2013,50.0
!deladap,2012,25.0
!deladap,2019,25.25
"""Dear Evan Hansen"" August 2018 Broadway Cast",2018,39.0
#TocoParaVos,2019,43.0
$ANFI,2018,12.0
$ANFI,2019,15.0
$IFRA,2019,34.0
$uicideBoy$,2015,64.53846153846153
$uicideBoy$,2016,51.0
$uicideBoy$,2017,57.0
$uicideBoy$,2018,59.0
'Til Tuesday,1985,29.5
(G)I-DLE,2018,66.0
(Sandy) Alex G,2019,57.0
(dc),2015,28.0
*NSYNC,1997,54.0
*NSYNC,2000,71.0
*NSYNC,2005,43.0
-M-,2005,38.0
.Sinh,2017,49.0
.Sinh,2019,52.5
.SØN,2019,23.0
015B,2018,30.0
015B,2019,34.0
03 Greedo,2018,38.0
10 Years,2010,58.0
10cc,1975,70.0
11 Acorn Lane,2014,22.0
11 Acorn Lane,2016,43.0
11 Acorn Lane,2018,40.0
11 Acorn Lane,2019,36.0
11 LIT3S,2018,41.0
112,1996,60.0
112,1998,45.5
112,2000,0.0
112,2001,50.5
112,2005,57.0
11:11,2019,36.0
13-Side,2019,25.0
18 Karat,2017,46.25
18 Karat,2018,22.4
18 Kilates,2010,0.0
187 Strassenbande,2009,0.0
187 Strassenbande,2017,25.5
1986 Omega Tribe,1986,37.0
1986 Omega Tribe,1987,27.666666666666668
1A.m.,2007,2.0
1Kilo,2018,61.0
1Kilo,2019,48.2
1PLAYY,2019,55.0
1takejay,2019,63.0
2 Brothers On The 4th Floor,1994,58.0
2 Chainz,2012,49.0
2 Chainz,2013,44.25
2 Chainz,2017,47.666666666666664
2 Chainz,2019,59.0
2 Chainz,2020,63.0
2 Eivissa,2014,36.0
2 Hyped Brothers & A Dog,1991,26.0
2 LIVE CREW,1996,34.0
2 Man Embassy,2019,45.0
20syl,2014,2.0
21 Savage,2016,74.0
21 Savage,2017,61.2
21 Savage,2018,77.4
21 Savage,2019,83.0
24hrs,2019,48.0
24kGoldn,2019,68.0
24por7,2019,43.0
27CLUB,2019,46.0
2DE1,2019,33.0
2K,2018,57.0
2NE1,2011,2.0
2Pac,1991,46.0
2Pac,1993,21.5
2Pac,1995,3.0
2Pac,1996,64.9047619047619
2Pac,1997,70.0
2Pac,1998,26.05
2Pac,2001,1.0
2Pac,2003,28.25
2Pac,2004,26.25
2Pac,2007,18.25
2Pac,2011,31.0
2Pac,2017,0.0
2STRANGE,2019,45.0
2STRANGE,2020,24.0
2Scratch,2018,39.0
